Side,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.325,7200000,-8.40702740516576e-5,0.01845991387879318,283.2159287610465,0.3813306165330773,0.6514960513605336,-59.549581700831745,0.9109083118871616,0.16134011612896626
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.325,7200000,9.962598206693447e-9,1.5176171291154463e-5,35.01328173190229,0.36825626568675235,9.577293179720155e-5,-59.29275761553488,0.9767684499614736,0.8067029044571273
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.55,7200000,-0.00019610333584553472,0.01286938502705187,493.70923852165856,0.48806944201423735,0.5455245486501823,-60.003281296389794,1.0112030060558073,0.333736572903419
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.55,7200000,-1.0979675912503406e-6,0.00010447338743089417,314.9940443479497,0.464487086969739,0.18624306701213955,-62.87562292021441,0.9741903605088127,0.8126490875250763
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.775,7200000,-3.408454995486212e-5,0.011052690828771859,275.84154888225635,0.5251400136613029,0.6465896340525528,-59.84863444143148,0.9499999997442872,0.3642713295961042
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.775,7200000,1.5037705434857273e-6,9.40355876146662e-5,1045.242125682094,0.5218932187013602,0.23439213943402745,-75.78582062707396,1.0036643626154043,0.7863678717962621
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,1.0,7200000,-0.0001470234515244085,0.020473336798426785,672.9541430019292,0.4477325176532576,0.4927650968460251,-59.76758731077461,1.0039460605719592,0.12075525167005725
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,1.0,7200000,4.1492106528329145e-7,4.862240281207626e-5,748.0274392197705,0.49450029887234503,0.07230936142193456,-56.702556567586925,0.9644523659844405,0.9935250537474171
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.1,7200000,-0.0001866989287549547,0.018592182706333147,959.0289789184375,0.5229836646511177,0.31454211130228227,-60.24347691081077,1.036363312343069,0.3659694109593787
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.1,7200000,1.6989949585692052e-7,3.3832925506854617e-5,161.7235068243964,0.351892614432924,0.09862731179696693,-68.74034971982273,0.8838823514882659,1.065689220697263
